"season_year","home_team","away_team","winning"
2012,"CAR","SEA",-1
2012,"KC","BAL",-1
2012,"TEN","NYJ",1
2012,"PIT","PHI",1
2012,"WAS","ATL",-1
2012,"NYG","CLE",1
2012,"IND","GB",1
2012,"DAL","CLE",1
2012,"STL","NYJ",-1
2012,"NE","IND",1
2012,"WAS","PHI",1
2012,"DET","GB",-1
2012,"ATL","ARI",1
2012,"CAR","TB",-1
2012,"KC","CIN",-1
2012,"OAK","NO",-1
2012,"DEN","PIT",1
2012,"ARI","SEA",1
2012,"TB","CAR",1
2012,"SEA","ARI",1
2012,"GB","DET",1
2012,"SF","MIA",1
2012,"NYG","NO",1
2012,"NYJ","HOU",-1
2012,"SEA","GB",1
2012,"SF","BUF",1
2012,"NO","SD",1
2012,"PIT","BAL",-1
2012,"DEN","SD",1
2012,"MIN","JAC",1
2012,"CHI","IND",1
2012,"HOU","MIA",1
2012,"NYJ","BUF",1
2012,"DET","STL",1
2012,"TEN","NE",-1
2012,"CLE","PHI",-1
2012,"NO","WAS",-1
2012,"GB","SF",-1
2012,"KC","ATL",-1
2012,"HOU","JAC",1
2012,"CIN","BAL",1
2012,"JAC","IND",-1
2012,"CIN","DAL",-1
2012,"BUF","STL",-1
2012,"CLE","KC",1
2012,"WAS","BAL",1
2012,"IND","TEN",1
2012,"PIT","SD",-1
2012,"MIN","CHI",1
2012,"JAC","NYJ",-1
2012,"TB","PHI",-1
2012,"CAR","ATL",1
2012,"NE","DEN",1
2012,"JAC","CHI",-1
2012,"MIA","OAK",1
2012,"SF","DET",1
2012,"SF","ARI",1
2012,"SEA","STL",1
2012,"DEN","KC",1
2012,"SD","OAK",1
2012,"ATL","TB",-1
2012,"NO","CAR",-1
2012,"OAK","DEN",-1
2012,"SF","SEA",1
2012,"OAK","PIT",1
2012,"BAL","NE",1
2012,"SD","ATL",-1
2012,"DEN","HOU",-1
2012,"MIN","GB",1
2012,"DET","CHI",-1
2012,"TEN","JAC",1
2012,"IND","HOU",1
2012,"WAS","DAL",1
2012,"NYG","PHI",1
2012,"NE","MIA",1
2012,"BUF","NYJ",1
2012,"PIT","CLE",1
2012,"SD","BAL",-1
2012,"NO","SF",-1
2012,"KC","DEN",-1
2012,"CHI","MIN",1
2012,"TB","ATL",-1
2012,"MIA","SEA",1
2012,"CIN","OAK",1
2012,"CLE","PIT",1
2012,"IND","BUF",1
2012,"JAC","TEN",1
2012,"NO","KC",-1
2012,"WAS","CIN",-1
2012,"CLE","BUF",-1
2012,"MIA","NYJ",-1
2012,"CHI","STL",1
2012,"DAL","TB",1
2012,"TEN","DET",1
2012,"MIN","SF",1
2012,"ARI","PHI",1
2012,"IND","JAC",-1
2012,"CIN","MIA",-1
2012,"MIN","TEN",1
2012,"NYG","GB",1
2012,"ARI","STL",-1
2012,"BUF","MIA",1
2012,"CIN","PIT",-1
2012,"SD","KC",1
2012,"TEN","PIT",1
2012,"HOU","BAL",1
2012,"STL","GB",-1
2012,"BUF","TEN",-1
2012,"IND","CLE",1
2012,"MIN","ARI",1
2012,"NYG","WAS",1
2012,"TB","NO",-1
2012,"CAR","DAL",-1
2012,"OAK","JAC",1
2012,"NE","NYJ",1
2012,"GB","CHI",1
2012,"PHI","CIN",-1
2012,"WAS","NYG",1
2012,"OAK","SD",-1
2012,"BAL","CIN",1
2012,"TEN","HOU",-1
2012,"DEN","TB",1
2012,"STL","SF",1
2012,"NYJ","ARI",1
2012,"CHI","SEA",-1
2012,"GB","MIN",1
2012,"BUF","JAC",1
2012,"MIA","NE",-1
2012,"KC","CAR",1
2012,"DET","IND",-1
2012,"NYJ","SD",-1
2012,"ARI","CHI",-1
2012,"SEA","SF",1
2012,"HOU","MIN",-1
2012,"DEN","CLE",1
2012,"ARI","SF",-1
2012,"PHI","CAR",-1
2012,"OAK","CLE",-1
2012,"BAL","PIT",-1
2012,"PIT","NYJ",1
2012,"SD","TEN",1
2012,"STL","ARI",1
2012,"BAL","NYG",1
2012,"TB","STL",-1
2012,"KC","IND",-1
2012,"JAC","NE",-1
2012,"PHI","WAS",-1
2012,"DAL","NO",-1
2012,"CAR","OAK",1
2012,"GB","TEN",1
2012,"PIT","CIN",-1
2012,"MIA","BUF",1
2012,"STL","NE",-1
2012,"PHI","ATL",-1
2012,"CHI","CAR",1
2012,"DET","SEA",1
2012,"NYJ","MIA",-1
2012,"CLE","SD",1
2012,"TEN","IND",-1
2012,"PIT","WAS",1
2012,"KC","OAK",-1
2012,"DAL","PHI",1
2012,"SD","CIN",-1
2012,"PIT","KC",1
2012,"NYG","PIT",-1
2012,"ATL","DAL",1
2012,"STL","WAS",1
2012,"SEA","DAL",1
2012,"CAR","NO",1
2012,"NYG","TB",1
2012,"IND","MIN",1
2012,"NE","ARI",-1
2012,"BUF","KC",1
2012,"PHI","BAL",1
2012,"JAC","HOU",-1
2012,"CIN","CLE",1
2012,"DET","ATL",-1
2012,"DEN","NO",1
2012,"DAL","NYG",-1
2012,"NYG","DAL",-1
2012,"WAS","MIN",1
2012,"HOU","GB",-1
2012,"OAK","TB",-1
2012,"SEA","MIN",1
2012,"IND","MIA",1
2012,"HOU","BUF",1
2012,"CLE","BAL",-1
2012,"CIN","DEN",-1
2012,"TEN","CHI",-1
2012,"JAC","DET",-1
2012,"GB","ARI",1
2012,"WAS","CAR",-1
2012,"GB","JAC",1
2012,"SF","STL",0
2012,"CHI","HOU",-1
2012,"NE","HOU",1
