"season_year","home_team","away_team","winning"
2011,"CAR","TEN",-1
2011,"TB","HOU",-1
2011,"IND","JAC",-1
2011,"KC","DEN",-1
2011,"PHI","ARI",-1
2011,"CHI","DET",1
2011,"ATL","NO",-1
2011,"MIA","WAS",1
2009,"SF","ATL",-1
2009,"ARI","HOU",1
2009,"KC","DAL",-1
2009,"NYG","OAK",1
2009,"PHI","TB",1
2009,"STL","MIN",-1
2009,"BAL","CIN",-1
2009,"BUF","CLE",-1
2009,"CAR","WAS",1
2009,"DET","PIT",-1
2009,"DEN","NYG",1
2009,"DAL","OAK",1
2009,"DET","GB",-1
2012,"CAR","SEA",-1
2012,"KC","BAL",-1
2009,"PHI","NYG",1
2009,"ARI","CAR",-1
2012,"TEN","NYJ",1
2012,"PIT","PHI",1
2012,"WAS","ATL",-1
2012,"NYG","CLE",1
2012,"IND","GB",1
2011,"DAL","BUF",1
2009,"IND","NE",1
2009,"GB","DAL",1
2009,"SD","PHI",1
2011,"CIN","PIT",-1
2011,"SF","CLE",1
2009,"NYG","DAL",1
2009,"ARI","MIN",1
2009,"MIA","NE",1
2012,"DAL","CLE",1
2012,"STL","NYJ",-1
2012,"NE","IND",1
2009,"SEA","SF",1
2012,"WAS","PHI",1
2012,"DET","GB",-1
2012,"ATL","ARI",1
2012,"CAR","TB",-1
2012,"KC","CIN",-1
2012,"OAK","NO",-1
2010,"TB","NO",-1
2010,"DEN","NYJ",-1
2010,"HOU","KC",1
2010,"NYG","DET",1
2010,"PHI","ATL",1
2010,"CHI","SEA",-1
2010,"GB","MIA",-1
2010,"STL","SD",1
2010,"NE","BAL",1
2010,"PIT","CLE",1
2009,"DEN","PIT",-1
2010,"MIA","NE",-1
2009,"MIA","BUF",1
2009,"NO","NYJ",1
2009,"SEA","ARI",-1
2009,"OAK","PHI",1
2009,"HOU","OAK",1
2009,"IND","SEA",1
2009,"CHI","DET",1
2009,"CLE","CIN",-1
2009,"NE","BAL",1
2009,"WAS","TB",1
2009,"JAC","TEN",1
2009,"KC","NYG",-1
2009,"ARI","STL",1
