"player_id","team_2009","team_2010","team_2011","team_2012"
27944,"","","ATL","ATL"
19626,"SD","","",""
22531,"PHI","PHI","PHI",""
22740,"MIN","MIN","MIN","MIN"
27520,"","STL","STL",""
27121,"","","STL",""
27893,"","TEN","TEN","TEN"
19696,"TB","","",""
27053,"","BUF","BUF","BUF"
27441,"","","JAC",""
28872,"","","","STL"
26185,"DET","","",""
26255,"TB","","",""
25462,"STL","STL","DAL","JAC"
27891,"","SEA","SEA","SEA"
30263,"","","",""
30001,"","","",""
14724,"NO","NO","",""
26946,"GB","GB","GB","GB"
30455,"","","",""
23540,"SEA","","",""
25629,"IND","IND","DET","TEN"
24442,"KC","NE","PHI",""
26151,"BUF","BUF","BUF","BUF"
28077,"","","MIN","MIN"
30542,"","","",""
26179,"SF","SF","SF","CHI"
27611,"","DEN","",""
28288,"","","BAL","BAL"
23492,"OAK","","",""
26799,"","","DEN",""
27776,"","CLE","CLE",""
22770,"TB","HOU","HOU",""
28373,"","","STL",""
28192,"","","","CHI"
19666,"CLE","CLE","",""
25452,"MIA","MIA","",""
27263,"","","JAC","CHI"
27858,"","KC","","KC"
27997,"","","CLE","CLE"
1820,"DAL","DAL","DAL","DEN"
29510,"","","","NYJ"
29411,"","","",""
26989,"WAS","WAS","WAS","WAS"
30320,"","","",""
26226,"BAL","BAL","BAL","IND"
26904,"CHI","","",""
29271,"","","","CAR"
28787,"","","","WAS"
30585,"","","",""
10711,"ATL","ATL","","ATL"
24365,"SD","MIA","HOU","HOU"
26296,"PIT","PIT","",""
27683,"","DEN","DEN","DEN"
27444,"","TB","TB","TB"
26650,"","DEN","",""
14619,"NE","","",""
29319,"","","","KC"
29647,"","","","DAL"
19613,"ARI","","",""
30119,"","","",""
25591,"TEN","TEN","",""
22808,"DET","DET","DET","DET"
26620,"","IND","",""
26376,"","IND","IND",""
26618,"TB","TB","TB","TB"
29696,"","","","CIN"
30545,"","","",""
27101,"","","BUF",""
27061,"TEN","TEN","TEN","TEN"
21911,"ARI","PHI","CAR","SD"
27653,"","CLE","CLE","CLE"
29220,"","","","NYG"
25596,"","DET","DET",""
27006,"TEN","TEN","TEN","TEN"
23583,"DET","OAK","",""
27012,"CLE","CLE","CLE","DET"
26029,"","TB","TB","NYG"
21273,"CLE","CLE","",""
21160,"DAL","DAL","MIA",""
25428,"ATL","DET","DET","DET"
29068,"","","",""
30148,"","","",""
22126,"BAL","","",""
22804,"","SD","SD","SD"
25475,"KC","","",""
28424,"","","","PHI"
25411,"NE","NE","CHI","WAS"
27000,"ATL","ATL","ATL","ATL"
27078,"GB","GB","GB","GB"
22034,"DEN","DEN","DEN","STL"
29274,"","","","KC"
26071,"NE","NE","NE","NE"
24687,"","SF","",""
26516,"","DEN","DEN","DEN"
25667,"ARI","","",""
28961,"","","","TEN"
26161,"ATL","ATL","ATL","ATL"
23494,"ATL","ATL","ATL","ATL"
29298,"","","","KC"
25497,"OAK","","",""
22131,"KC","HOU","HOU","HOU"
26231,"GB","GB","GB","GB"
27016,"NE","NE","NE","NE"
27190,"","CAR","",""
29612,"","","","STL"
22911,"NO","NO","NO","NO"
21099,"NYJ","NYJ","GB",""
27765,"","PIT","PIT","PIT"
29127,"","","",""
19213,"DEN","DEN","DEN",""
28565,"","","CHI","CHI"
30485,"","","",""
24425,"","MIA","",""
26202,"NE","","",""
21190,"WAS","PIT","",""
20969,"NYJ","NYJ","NYJ","NYJ"
26858,"WAS","WAS","WAS","CAR"
27232,"","NE","NE","IND"
19587,"DET","","",""
28054,"","","PHI","PHI"
29868,"","","",""
21222,"ATL","ATL","",""
24110,"NYJ","NYJ","NYG","NYG"
29288,"","","",""
30526,"","","",""
25450,"GB","GB","","CLE"
22050,"CHI","CHI","",""
24318,"NYJ","NYJ","BUF","BUF"
26898,"NYJ","NYJ","NYJ","NYJ"
25559,"SD","SD","CAR","MIA"
29660,"","","","BUF"
23757,"NO","NO","",""
28123,"","","NYG","JAC"
9889,"BAL","BAL","BAL","BAL"
29216,"","","","DET"
26156,"ARI","ARI","PHI","PHI"
26313,"HOU","HOU","HOU",""
19700,"WAS","","",""
5058,"NYJ","ARI","",""
24495,"SF","SF","SF","SF"
25626,"STL","STL","STL",""
24825,"DET","","",""
29548,"","","","IND"
25604,"MIA","MIA","BUF","BUF"
30549,"","","",""
30024,"","","",""
28029,"","","ATL","ATL"
22000,"NYJ","NYJ","NYJ","STL"
27026,"CLE","CLE","CLE","CLE"
29693,"","","","MIA"
22929,"NO","NO","NO","NO"
27106,"GB","GB","TEN","TEN"
27756,"","","BAL","BAL"
19457,"ARI","","KC",""
21546,"SD","SD","SD",""
26742,"CLE","CLE","CLE",""
27071,"","DAL","DAL",""
26247,"","","",""
27866,"","SEA","SEA","SEA"
28125,"","","TB","SEA"
29684,"","","","CIN"
22785,"PIT","PIT","PIT","PIT"
24583,"WAS","WAS","OAK",""
29667,"","","",""
30458,"","","",""
26210,"CHI","CHI","CHI","CHI"
26267,"IND","IND","IND","DEN"
28522,"","","NO","NO"
24467,"NYG","NYG","NYG","OAK"
26878,"","GB","GB","GB"
21922,"NYG","NYG","NYG","NYG"
28738,"","","CAR","CAR"
19560,"SEA","NYG","NYG",""
20522,"WAS","","",""
27125,"JAC","JAC","JAC",""
26203,"NYG","NYG","",""
28497,"","","BUF",""
30442,"","","",""
4811,"ATL","","",""
20382,"TEN","DET","DET","DET"
26366,"OAK","OAK","OAK","NYJ"
27760,"","MIN","",""
29653,"","","","PHI"
23559,"GB","GB","STL","DAL"
29422,"","","","TB"
23408,"MIA","MIN","MIN","NO"
26622,"BUF","","",""
26739,"","","CLE","CLE"
27745,"","SD","SD","SD"
28097,"","","BUF","BUF"
28153,"","","","MIN"
27990,"","","","NYG"
30309,"","","",""
24341,"DEN","","DEN","DEN"
29138,"","","",""
26170,"NYJ","NYJ","NYJ","NYJ"
30048,"","","",""
22695,"PHI","TEN","PHI","PHI"
27721,"","PHI","PHI","OAK"
30114,"","","",""
24100,"JAC","CHI","CHI",""
