"player_id","full_name","position","team","gsis_id","season_year","week","nbplays","receiving_yds","receiving_tds","receiving_rec"
"00-0022921","Larry Fitzgerald","WR","ARI","2012090910",2012,1,11,63,0,4
"00-0022921","Larry Fitzgerald","WR","ARI","2012091602",2012,2,5,4,0,1
"00-0022921","Larry Fitzgerald","WR","ARI","2012092309",2012,3,10,114,1,9
"00-0022921","Larry Fitzgerald","WR","ARI","2012093007",2012,4,15,64,1,8
"00-0022921","Larry Fitzgerald","WR","ARI","2012100400",2012,5,15,92,0,8
"00-0022921","Larry Fitzgerald","WR","ARI","2012101407",2012,6,12,93,1,6
"00-0022921","Larry Fitzgerald","WR","ARI","2012102101",2012,7,7,29,0,4
"00-0022921","Larry Fitzgerald","WR","ARI","2012102900",2012,8,12,52,0,5
"00-0022921","Larry Fitzgerald","WR","ARI","2012110401",2012,9,12,74,1,6
"00-0022921","Larry Fitzgerald","WR","ARI","",2012,10,0,0,0,0
"00-0022921","Larry Fitzgerald","WR","ARI","2012111802",2012,11,7,11,0,1
"00-0022921","Larry Fitzgerald","WR","ARI","2012112510",2012,12,12,31,0,3
"00-0022921","Larry Fitzgerald","WR","ARI","2012120203",2012,13,7,23,0,1
"00-0022921","Larry Fitzgerald","WR","ARI","2012120912",2012,14,11,2,0,1
"00-0022921","Larry Fitzgerald","WR","ARI","2012121608",2012,15,5,22,0,4
"00-0022921","Larry Fitzgerald","WR","ARI","2012122312",2012,16,12,111,0,8
"00-0022921","Larry Fitzgerald","WR","ARI","2012123014",2012,17,5,13,0,2
"00-0027691","Andre Roberts","WR","ARI","2012090910",2012,1,10,54,1,5
"00-0027691","Andre Roberts","WR","ARI","2012091602",2012,2,2,2,1,1
"00-0027691","Andre Roberts","WR","ARI","2012092309",2012,3,6,55,0,3
"00-0027691","Andre Roberts","WR","ARI","2012093007",2012,4,9,118,2,6
"00-0027691","Andre Roberts","WR","ARI","2012100400",2012,5,12,39,0,5
