"player_id_orig","full_name","position","team","player_id","season_year","injury_max","nbplays","defense_ast","defense_ffum","defense_fgblk","defense_frec","defense_frec_tds","defense_frec_yds","defense_int","defense_int_tds","defense_int_yds","defense_misc_tds","defense_misc_yds","defense_pass_def","defense_puntblk","defense_qbhit","defense_safe","defense_sk","defense_sk_yds","defense_tkl","defense_tkl_loss","defense_tkl_loss_yds","defense_tkl_primary","defense_xpblk","fumbles_forced","fumbles_lost","fumbles_notforced","fumbles_oob","fumbles_rec","fumbles_rec_tds","fumbles_rec_yds","fumbles_tot","kicking_all_yds","kicking_downed","kicking_fga","kicking_fgb","kicking_fgm","kicking_fgm_yds","kicking_fgmissed","kicking_fgmissed_yds","kicking_i20","kicking_rec","kicking_rec_tds","kicking_tot","kicking_touchback","kicking_xpa","kicking_xpb","kicking_xpmade","kicking_xpmissed","kicking_yds","kickret_fair","kickret_oob","kickret_ret","kickret_tds","kickret_touchback","kickret_yds","passing_att","passing_cmp","passing_cmp_air_yds","passing_incmp","passing_incmp_air_yds","passing_int","passing_sk","passing_sk_yds","passing_tds","passing_twopta","passing_twoptm","passing_twoptmissed","passing_yds","punting_blk","punting_i20","punting_tot","punting_touchback","punting_yds","puntret_downed","puntret_fair","puntret_oob","puntret_tds","puntret_tot","puntret_touchback","puntret_yds","receiving_rec","receiving_tar","receiving_tds","receiving_twopta","receiving_twoptm","receiving_twoptmissed","receiving_yac_yds","receiving_yds","rushing_att","rushing_loss","rushing_loss_yds","rushing_tds","rushing_twopta","rushing_twoptm","rushing_twoptmissed","rushing_yds"
"00-0015754","Brandon Stokley","WR","BAL",15754,2009,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,33,4,0,0,0,208,327,0,0,0,0,0,0,0,0
"00-0015754","Brandon Stokley","WR","BAL",15754,2010,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,85,0,0,0,0,180,702,0,0,0,0,0,0,0,0
"00-0015754","Brandon Stokley","WR","BAL",15754,2011,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0
"00-0015754","Brandon Stokley","WR","BAL",15754,2012,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,58,5,0,0,0,156,544,0,0,0,0,0,0,0,0
"00-0019642","Plaxico Burress","WR","PIT",19642,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0019642","Plaxico Burress","WR","PIT",19642,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0019642","Plaxico Burress","WR","PIT",19642,2011,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,96,8,0,0,0,144,612,0,0,0,0,0,0,0,0
"00-0019642","Plaxico Burress","WR","PIT",19642,2012,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,4,42,0,0,0,0,0,0,0,0
"00-0020337","Steve Smith","WR","CAR",20337,2009,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,128,7,1,1,0,327,982,5,0,0,0,0,0,0,22
"00-0020337","Steve Smith","WR","CAR",20337,2010,6,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,92,89,190,4,0,0,0,401,1091,2,0,0,0,0,0,0,18
