2010,"Victor Abiamiri","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP","PUP"
2010,"David Akers","","","","","","","","","","","","P","","","","",""
2010,"Nate Allen","","","","","","","","","D","P","","","","","IR","IR","IR"
2010,"Jason Avant","","P","","","","","","","","","","","","","","",""
2010,"Antwan Barnes","P","P","","","","","","","","","","","","","","",""
2010,"Mike Bell","","P","","Q","","","","","","","","","","","","",""
2010,"Stewart Bradley","","D","P","","","","","","","","","","","O","O","O","D"
2010,"Brodrick Bunkley","","P","","","O","O","O","Q","P","P","P","","","","","",""
2010,"Jorrick Calvin","","","","","P","","","","","P","P","P","P","P","IR","IR","IR"
2010,"Brent Celek","","","P","P","P","P","P","","","","","","","","","",""
2010,"Keenan Clayton","","","","","","","","","","","","","","O","D","P",""
2010,"Nick Cole","","P","P","Q","Q","P","P","Q","P","P","P","P","P","P","P","P","P"
2010,"Trent Cole","","","","","P","P","","","","","","","","","","P",""
2010,"Kurt Coleman","","","","","","","P","","","","","","","","","",""
2010,"Riley Cooper","","","","O","Q","Q","P","","","","","Q","P","","","",""
2010,"Antonio Dixon","","","","","","","","","","","Q","","","","","",""
2010,"King Dunlap","","","","","","","P","Q","Q","P","","","","","","",""
2010,"Moise Fokou","","","","","","","","","","","","","","","P","",""
2010,"Brandon Graham","","","P","P","","","P","Q","","","","","O","IR","IR","IR","IR"
2010,"Clay Harbor","","","","","","","","","","","","","","P","P","P","P"
2010,"Antoine Harris","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2010,"Todd Herremans","","P","P","","P","P","","","P","","P","","","","","","P"
2010,"Ellis Hobbs","","","","","","","","D","Q","P","IR","IR","IR","IR","IR","IR","IR"
2010,"Austin Howard","","P","Q","P","P","P","Q","","","","","","","","","",""
2010,"DeSean Jackson","","","","","","","O","P","","","","","","Q","P","Q","P"
2010,"Jamaal Jackson","O","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2010,"Marlin Jackson","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2010,"Max Jean-Gilles","","","","","","","","O","D","","","","","","","O","Q"
2010,"Akeem Jordan","","P","","","P","","","","","","","","","","","",""
2010,"Winston Justice","","","","","","","P","","","","","O","Q","Q","P","P","P"
2010,"Kevin Kolb","","D","P","","","","","","","","","","","","","",""
2010,"Trevor Laws","","P","P","","","","","","","","","","","","","Q","P"
2010,"Trevard Lindley","","","","","","","","","","","","P","","","","",""
2010,"Jeremy Maclin","","","","P","","","","","","","","","","","","",""
2010,"LeSean McCoy","","","","","Q","P","P","","","Q","P","P","","","","",""
2010,"Mike McGlynn","","","","","","","","","","","","","","","","Q",""
2010,"Juqua Parker","","","","","","","","P","P","Q","Q","Q","P","","","",""
2010,"Dimitri Patterson","","","","","","P","","","","","","","","","","",""
2010,"Mike Patterson","","","","","","","","","","","","","","","Q","P","P"
2010,"Jason Peters","O","P","","","O","O","O","Q","","","","","","","","",""
2010,"Saverio Rocca","","P","","","","","","","","","","","","","","",""
2010,"Asante Samuel","","","","","Q","Q","","","","","Q","Q","Q","P","","Q","P"
2010,"Ricky Sapp","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2010,"Ernie Sims","","P","","P","","","","","","P","P","","","","","",""
2010,"Michael Vick","","","","","D","D","P","P","","","","","P","","","O","P"
2010,"Leonard Weaver","","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2010,"Reggie Wells","","","","","P","","","","","","","","","","","",""
